Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[MirrorSceneDataset] Found 1000 scenes in data/synthetic/train
[MirrorSceneDataset] Found 200 scenes in data/synthetic/val
[DualHeadVGGT] Total params: 1354.5M
[DualHeadVGGT] Trainable params: 163.9M
[DualHeadVGGT] Frozen params: 1190.6M
============================================================
Starting Dual-Head Layered Baseline
  Train scenes: 1000
  Val scenes: 200
  Epochs: 20
  Device: cuda
============================================================
/mnt/afs/zhengmingkai/miniconda3/envs/rdh/lib/python3.12/site-packages/torch/nn/functional.py:6001: UserWarning: 1Torch was not compiled with memory efficient attention. (Triggered internally at /workspace/framework/mcPytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:738.)
  return _scaled_dot_product_attention(query, key, value, attn_mask, dropout_p, is_causal, scale = scale, enable_gqa = enable_gqa)
[Epoch 1/20] Step 420/1000 | Loss: 4.2399 | L_primary: 1.6752 | L_secondary: 1.3680 | L_mask: 0.1893
[Epoch 1/20] Step 430/1000 | Loss: 4.2296 | L_primary: 2.1437 | L_secondary: 2.1866 | L_mask: 0.2688
[Epoch 1/20] Step 440/1000 | Loss: 4.2017 | L_primary: 2.1305 | L_secondary: 1.9433 | L_mask: 0.2486
[Epoch 1/20] Step 450/1000 | Loss: 4.0593 | L_primary: 2.2118 | L_secondary: 2.8155 | L_mask: 0.2093
[Epoch 1/20] Step 460/1000 | Loss: 3.6653 | L_primary: 1.2809 | L_secondary: 1.2530 | L_mask: 0.1841
[Epoch 1/20] Step 470/1000 | Loss: 4.2481 | L_primary: 2.2559 | L_secondary: 1.8826 | L_mask: 0.2224
[Epoch 1/20] Step 480/1000 | Loss: 4.1089 | L_primary: 1.5590 | L_secondary: 1.5060 | L_mask: 0.1997
[Epoch 1/20] Step 490/1000 | Loss: 3.9789 | L_primary: 2.1821 | L_secondary: 2.5386 | L_mask: 0.2073
[Epoch 1/20] Step 500/1000 | Loss: 5.3022 | L_primary: 0.9431 | L_secondary: 1.8317 | L_mask: 0.1097
[Epoch 1/20] Step 510/1000 | Loss: 4.5040 | L_primary: 2.2119 | L_secondary: 2.0675 | L_mask: 0.1300
[Epoch 1/20] Step 520/1000 | Loss: 4.5336 | L_primary: 2.2716 | L_secondary: 2.3003 | L_mask: 0.0683
[Epoch 1/20] Step 530/1000 | Loss: 3.8361 | L_primary: 1.4997 | L_secondary: 1.9776 | L_mask: 0.4004
[Epoch 1/20] Step 540/1000 | Loss: 3.8886 | L_primary: 1.3096 | L_secondary: 1.8221 | L_mask: 0.1091
[Epoch 1/20] Step 550/1000 | Loss: 3.8446 | L_primary: 1.4341 | L_secondary: 1.3707 | L_mask: 0.1085
[Epoch 1/20] Step 560/1000 | Loss: 3.9705 | L_primary: 1.1751 | L_secondary: 1.4588 | L_mask: 0.0595
[Epoch 1/20] Step 570/1000 | Loss: 3.8153 | L_primary: 0.9316 | L_secondary: 1.6181 | L_mask: 0.2022
[Epoch 1/20] Step 580/1000 | Loss: 4.1794 | L_primary: 2.0869 | L_secondary: 2.6687 | L_mask: 0.0218
[Epoch 1/20] Step 590/1000 | Loss: 3.3684 | L_primary: 1.2495 | L_secondary: 1.4465 | L_mask: 0.0568
[Epoch 1/20] Step 600/1000 | Loss: 4.0848 | L_primary: 2.5098 | L_secondary: 2.2990 | L_mask: 0.0983
